event_name,date_and_time,description,location,cost,event_url
Sunday Family Takeover,2025-02-23,"Join us for new & unique indoor fun every Sunday in February!   Schedule of events at each location for Sundays in February Carnival Games - Try your hand at Plinko, ring/frisbee toss or challenge others to a giant game of Connect 4!  Racket and Roll -  Badminton, Pickleball even Table Tennis - choose your racquet and serve!  Family Fitness/Art Frenzy -  Workout together in our family-friendly fitness circuit and cool down while creating a Family Tree art project.   Super Sports Fest - Visit each station to test your skills in basketball, soccer, gymnastics to name a few!    Other activities include a bouncy house, obstacle courses, tunnels, scooters and more!       No pre-registration required. Non-members welcome when paying a drop-in fee. Table tennis not available at West Portage. Bouncy house not available at South.","3550 Portage Ave, Winnipeg, MB R3K 0Z8, Canada",Not Available,https://www.ywinnipeg.ca/events/sunday-family-takeover
Kid's Night Out,2025-02-21 17:30:00,Looking for a break at the end of a long week? Perhaps a little “me time”? Or just the opportunity to have an evening out? Register your kids in our Kid’s Night Out!   Children 5-12 years of age will have a fun-filled night of active games and creative play with our energetic Y staff and volunteers. Child-friendly supper and snacks included!,"5 Fermor Ave, Winnipeg, MB R2M 3N8, Canada",40,https://www.ywinnipeg.ca/events/kids-night-out-1
Spring Registration,2025-03-10,"Our Spring session registration will open at noon on Monday, March 10 both in person and on-line.  Programs include swim lessons, gymnastics, karate, basketball as well as summer day camp!  Programs & lessons are available for Y members aged 3 to 12 years of age.   Note: Summer day camp registration is open to both members and non-members. ","3550 Portage Ave, Winnipeg, MB R3K 0Z8, Canada",Not Available,https://www.ywinnipeg.ca/events/spring-registration
Kid's Night Out,2025-04-25 17:30:00,Looking for a break at the end of a long week? Perhaps a little “me time”? Or just the opportunity to have an evening out? Register your kids in our Kid’s Night Out!   Children 5-12 years of age will have a fun-filled night of active games and creative play with our energetic Y staff and volunteers. Child-friendly supper and snacks included!,"3550 Portage Ave, Winnipeg, MB R3K 0Z8, Canada",40,https://www.ywinnipeg.ca/events/kids-night-out-2
Shoppers Drug Mart® Run for Women 2025,2025-06-07 07:30:00,"Your donations and participation support women's mental health programs at Women’s College Hospital. When you take part in the Run for Women, you are impacting the lives of thousands of women across Canada by creating access to life-changing mental healthcare where, when, and how they need it most.    When you walk or run, you support:  Women’s College Hospital’s Mental Health Programs – the largest clinical and research program of its kind in Canada.  Over 30,000 patient visits each year – a number that will grow exponentially as virtual care initiatives continue to grow in scope and impact.  Specialty areas of focus that include trauma and abuse, mental health during reproductive life stages, medical psychiatry and refugee mental health.  Virtual care initiatives pioneered at WCH that are breaking down barriers and improving access.   Innovative new programs and research that ensure women have the support they need when they need it most.","Women's College Hospital, 76 Grenville Street, Toronto, ON M5S 1B2, Canada",62.15,https://raceroster.com/events/2025/90726/shoppers-drug-mart-run-for-women-toronto-2025
Tournament of Stars,2025-03-21 18:00:00 - 2025-03-22 17:00:00,"On March 21 – 22, basketball stars will converge on Toronto for the 6th annual West Park Foundation Tournament of Stars.  At this unique, two-day basketball event you’ll have the opportunity to team up with former Toronto Raptors and other NBA and WNBA alumni for a fun but competitive tournament in support of UHN-West Park Healthcare Centre.   Tournament of Stars kicks off with the Friday night Celebrity Draft Party, an exclusive cocktail reception during which qualifying teams draft their celebrity player and meet to plot their game day strategy. The team that raises the most money for West Park gets top pick in the draft!  On Saturday, the energy builds from the moment the teams hit the courts and the games begin. Teams will enjoy showcasing their skills on the court playing alongside NBA & WNBA alums as they compete for the tournament trophy, while family and friends cheer them on from the bleachers.  Join us for an action-packed, family-friendly day of basketball in support of West Park.","Goldring Centre 100 Devonshire Place, Toronto, ON  M5S 2C9",25,https://trellis.org/tournament-of-stars
"UHN’s West Park Healthcare Centre and Toronto Public Health Present the 2025 World TB Day Conference: TB Horizons: Advancing Diagnosis, Treatment, and Prevention",2025-03-24 08:30:00 – 2025-03-24 16:15:00,"UHN’s West Park Healthcare Centre has a 120-year history of providing exemplary care to tuberculosis patients. Founded in 1904 as a TB sanitorium, today West Park is the province’s designated centre for treating resistant tuberculosis and mycobacterial infections, while leading national efforts in rehabilitation.  On World TB Day 2025, West Park and Toronto Public Health invite clinicians in the TB field and public health agencies to attend our conference: “TB Horizons: Advancing Diagnosis, Treatment, and Prevention.”"," West Park Healthcare Centre – 170 Emmett Ave, Toronto M6M 2J5",75,https://westparkfoundation.ca/events/community-events/2025-world-tb-day-conference/
"Art Opening, Conversation and Reception",2025-04-08 17:00:00 – 2025-04-08 19:30:00,"Please join us at UHN’s West Park Healthcare Centre for a reception to celebrate the opening of the art installations enriching lives in our new hospital building.  Take a tour, hear a keynote presentation by Sara Angel, Founder and Executive Director of Art Canada Institute and meet the artists whose work enhances the patient experience including:  Dr. Chris Boulias, Mike Hammer, April Hickox, Lucie Johnson on behalf of Richard Johnson, Dennis Lin, Elizabeth McIntosh, Tom Miller, Bill Schwarz, and patient artists Funds raised will support the inspiring vision for West Park’s ongoing art strategy to advance the collection and fund an Artists in Residence Program.",West Park Healthcare Centre Foundation,100,https://westparkfoundation.ca/events/community-events/art-of-hope/
How To Become A Volunteer: Newcomers,2025-02-18 18:30:00 - 2025-02-18 19:30:00,"In collaboration with the Toronto Public Library, discover how to safely get involved as a volunteer. Learn where to search for opportunities and how to find the best match for your needs and goals - including volunteering virtually from home, or in person with a group or organization.    You’ll also discover thousands of free online resources through the Toronto Public Library to help you learn more about the city, make community connections, and access other helpful support services. This session is great for newcomers and anyone who wants to make a positive impact on our city, or improve or learn new skills.  This session is Free and No Registration is needed to attend. If you would like to receive a reminder email, then click Here to receive a reminder.     Please note:  You will not receive volunteer hours for attending this session.","Toronto Public Library - Agincourt Branch 155 Bonis Ave, Toronto Scarborough, Ontario  M1T 3W6 Canada",Free ,https://www.volunteertoronto.ca/events/EventDetails.aspx?id=1934226&group=
High School Volunteering: Ask Me Anything,2025-02-19 18:30:00-,"Are you a high school student?  Looking to volunteer during March break?  Want to finish your school community hours?  Join us and learn how to get involved as a volunteer, where to search for opportunities and how to find the best match for your needs and goals. During the session you can ask us any questions about volunteering as a high school student. This session is intended for youth and anyone in high school.     Please note: You will Not receive volunteer hours for attending this session.",Virtual Session,Free,https://www.volunteertoronto.ca/events/EventDetails.aspx?id=1934428&group=
How To Become A  Leadership Volunteer,"2025-02-22 10:30:00-, 2025-02-22 12:00:00-","In collaboration with the Toronto Public Library, discover how to safely get involved as a leadership volunteer. Participants will   - Understand what leadership volunteering means. - Explore available leadership volunteer roles and how to determine the right role and organization.  - Learn about volunteering with a non-profit’s board of directors, and how to apply to become a board member.    Please note: You will not receive volunteer hours for attending this webinar.",Zoom Webinar Canada,Free,https://www.volunteertoronto.ca/events/EventDetails.aspx?id=1931723&group=
How To Become A Volunteer: Youth,2025-02-25 18:30:00 - 2025-02-25 19:30:00,"Looking to volunteer during March break?  Want to finish your school community hours?  Join us at Toronto Public Library Bloor and Gladstone branch, on Tuesday February 25, 2025 at 6.30pm to learn more!  Understand the Library services and volunteer opportunities. Discover how to safely get involved as a volunteer.  Learn where to search for opportunities and how to find the best match for your needs and goals. Understand the application process and what to expect. This session is great for high school students, youth and anyone who wants to make a positive impact on our city, or improve or learn new skills.  This event is Free, no registration is needed to attend.  Please note: You will not receive volunteer hours for attending this webinar.",Toronto Public Library - Bloor and Gladstone Branch 1101 Bloor St W Toronto M6H 1M7 Canada,Free,https://www.volunteertoronto.ca/events/EventDetails.aspx?id=1934283&group=
Dealing with Difficult Volunteers,2025-02-26 10:00:00 - 2025-02-26 12:00:00,"What makes a volunteer ""difficult?"" What are the rules and unspoken boundaries that impact volunteer engagement? Effectively dealing with difficult volunteers starts with setting clear expectations, understanding why volunteers break the rules and exploring consequences that make sense. This interactive, two-hour in-person workshop will address challenges you might encounter with both virtual and in-person volunteers, and will also discuss alternatives and process for volunteer dismissal.   You'll leave this 2-hour in-person workshop with: Tools to create effective volunteer boundaries and set expectations An understanding of the varied reasons that volunteers break rules Tips and techniques for managing and improving volunteer performance The basics of volunteer dismissal processes Light refreshments will be provided.  How to find the venue: Crohn's and Colitis Canada's National Office is located at 439 University Avenue, Suite 2110 (21st floor), at the intersection of Dundas Street West and University Avenue in downtown Toronto. You can reach this location via subway at St. Patrick Subway Station, or via the Dundas (505) streetcar. The Boardroom is located within the Crohn's and Colitis Canada office on the 21st floor, our team will greet you outside the elevator to help you find your way.     Community Guidelines  Volunteer Toronto is committed to fostering a space where everyone is welcome to show-up and engage without fear of harassment. During the registration process, you will agree to our Community Guidelines: you understand that harassment or perceived harassment of individuals and/or organizations participating in this space will not be tolerated. The host reserves the right to remove participants from the space (with registration fees refunded) if such harassment or perceived harassment occurs.  Registration & Cancellation Policy  Registrations are accepted at the discretion of Volunteer Toronto. No refunds will be issued for cancellations received within 48 hours of an event. Registration can be transferred to another member of your organization. Written notice must be received more than 48 hours prior to the event date in order to receive a refund. Please send your written cancellation to Sammy Feilchenfeld at sfeilchenfeld@volunteertoronto.ca. Registered participants who fail to attend an event will be invoiced for the full fee, due 30 days from the date of the invoice.","Crohn's and Colitis Canada National Office 439 University Avenue Suite 2110 Toronto, Ontario  M5G 1Y8 Canada",60,https://www.volunteertoronto.ca/events/EventDetails.aspx?id=1889746&group=
Volunteering and Police Record Checks,2025-03-04 19:00:00 - 2025-03-04 20:30:00,"In this session you will learn why organizations ask for police background checks, and understand the different types of checks as well as the process for each type. This session is great for youth, newcomers and seniors and anyone who wants to understand police record check requirement in volunteer opportunities.  Please note: You will not receive volunteer hours for attending this webinar.",Zoom Webinar Canada,Free,https://www.volunteertoronto.ca/events/EventDetails.aspx?id=1931744&group=
How To Become A Volunteer: Youth,2025-03-06 18:30:00- 2025-03-06 19:30:00,"Looking to volunteer during March break?  Want to finish your school community hours?  Interested to learn more about available opportunities and where to find them?  Join us at Toronto Public Library Don Mills Branch, on Tuesday March 6th, 2025 at 6.30pm to learn more!  Understand the Library services and volunteer opportunities. Discover how to safely get involved as a volunteer.  Learn where to search for opportunities and how to find the best match for your needs and goals. Understand the application process and what to expect. This session is great for high school students, youth and anyone who wants to make a positive impact on our city, or improve or learn new skills.  This event is Free, no registration is needed to attend.  Please note: You will not receive volunteer hours for attending this webinar.",Toronto Public Library - Don Mills Branch 888 Lawrence Ave E Toronto M3C 1P6 Canada,Free,https://www.volunteertoronto.ca/events/EventDetails.aspx?id=1934268&group=
How To Become A Volunteer: Seniors,2025-03-07 11:00:00 - 2025-03-07 12:00:00,"In collaboration with the Toronto Public Library, discover how to safely get involved as a volunteer. Learn where to search for opportunities and how to find the best match for your needs and goals - including volunteering virtually from home, or in person with a group or organization.   You’ll also discover thousands of free online resources through the Toronto Public Library to help you learn more about the city, make community connections, and access other helpful support services.   This session is great for Seniors and anyone who wants to make a positive impact on our city, or improve or learn new skills.  Please note: You will not receive volunteer hours for attending this webinar.","Toronto Public Library: Scarborough Civic Center Branch 156 Borough Dr Scarborough, Ontario  M1P4N7 Canada",Free,https://www.volunteertoronto.ca/events/EventDetails.aspx?id=1934432&group=
How To Become A Volunteer: Newcomers,2025-03-17 18:30:00- 2025-03-17 19:30:00,"In collaboration with the Toronto Public Library, discover how to safely get involved as a volunteer. Learn where to search for opportunities and how to find the best match for your needs and goals - including volunteering virtually from home, or in person with a group or organization.    You’ll also discover thousands of free online resources through the Toronto Public Library to help you learn more about the city, make community connections, and access other helpful support services. This session is great for newcomers and anyone who wants to make a positive impact on our city, or improve or learn new skills.  This session is Free and No Registration is needed to attend. If you would like to receive a reminder email, then click Here to receive a reminder.     Please note:  You will not receive volunteer hours for attending this session.","Toronto Public Library - Bloor and Gladstone Branch Scarborough, Ontario  M1T 3W6 Canada",Free,https://www.volunteertoronto.ca/events/EventDetails.aspx?id=1934434&group=
