event_name,date_and_time,description,location,cost,event_url,category,charity,organization_link
Better Sleep for Kids,26/2/2025 18:30-20:00,"Clinical Psychologist, Dr. Jessica Engle, will help parents/guardians develop a better understanding of sleep health and learn practices the whole family can use to achieve better rest. In person at LDAY Centre for Learning or online via Zoom.  To register for in person participation: email Stephanie at ed@LDAYukon.com",Inperson/Online,Not available,https://www.ldayukon.com/events/better-sleep-for-kids,Disabilities and Accessibility Services,Learning Disabilities Association Of Yukon,WWW.LDAYUKON.COM
Snowshoe Fest 2025,8/3/2025 13:00-15:30,At Biathlon Yukon. Details coming soon!,Biathlon Yukon,Not available,https://www.ldayukon.com/events/snowshoe-fest-2025,Disabilities and Accessibility Services,Learning Disabilities Association Of Yukon,WWW.LDAYUKON.COM
Awards Gathering,28/5/2024 18:30-19:30,"LDAY’s annual celebration of our hard working learners and educators. Please consider nominating an educator (tutor, teacher, EA) or a student for this year’s gathering! Here is our nomination form.  We’ll gather in the meeting rooms at the Whitehorse Public Library with light refreshments.", Whitehorse Public Library ,Not Available,https://www.ldayukon.com/events/awards-gathering,Disabilities and Accessibility Services,Learning Disabilities Association Of Yukon,WWW.LDAYUKON.COM
LDAY AGM 2023,24/7/2023 17:00-19:00,"The LDAY Centre for Learning AGM will be Monday, July 24 at 5:00pm on Zoom. To join in or for more information, please contact Stephanie: ed@LDAYukon",Online,Not Available,https://www.ldayukon.com/events/lday-agm-2023,Disabilities and Accessibility Services,Learning Disabilities Association Of Yukon,WWW.LDAYUKON.COM
Welcome to Your Child's AHDH Brain,8/5/2023 18:30-20:00,"Join Aaron Bailey as he provides a glimpse into his life as a person living with Attention Deficit Hyperactivity Disorder (ADHD), a Learning Disability (LD), Generalized Anxiety Disorder (GAD) and depression. Aaron speaks candidly about his multiple disabilities and provides insight into how your child might be feeling too!  Parents and Guardians will leave with a better understanding of what ADHD actually is, how it makes your child feel and how you can begin to implement pragmatic strategies – together!   Everyone is welcome, free of charge. Join us in person at Yukon University lecture hall A2206 or via zoom.   AaronBailey.ca","Yukon University, Lecture Hall A2206 500 University DriveWhitehorseCanada",Not Available,https://www.ldayukon.com/events/o5c7d9ap95lin2e6mf0nv905xwjn9a,Disabilities and Accessibility Services,Learning Disabilities Association Of Yukon,WWW.LDAYUKON.COM
On-Demand learning for volunteer,1/9/2024 - 31/8/2025,"Discover our free on-demand professional learning webinars and self-paced courses today.   Explore a variety of topics, including career exploration, activity development, and inclusive outreach.  Available in English and French to all registered Let's Talk Science volunteers.",Not available,Free,https://letstalkscience.ca/events/program-timetable/on-demand-learning-volunteers,Youth Education and Skill Development,Let’s Talk Science,letstalkscience.ca
STEM Club 2024-25,25/9/2024 13:00,"Join the Let's Talk Science STEM Club! STEM Club is not just about learning; it's about doing. It's a series of six hands-on curriculum-linked activities offered to Grades 4 to 6 students across Canada.   Each week, an inspiring role model presents a different, fun, and engaging activity requiring only minimal, low-cost materials. Students are not just introduced to different STEM concepts; they get to experience them firsthand, gaining a deeper understanding of the world around them through interactive explanations and hands-on activities in these 40 to 45-minute sessions.",Not  Available,Free,https://letstalkscience.ca/events/program-timetable/stem-club-2024-25,Youth Education and Skill Development,Let’s Talk Science,letstalkscience.ca
Let's Talk Science Challenge (in-person),1/11/2024 - 1/6/2025,"Are your students up for the Challenge? Put their STEM knowledge to the test by taking part in theory, hands-on and team activities in this national STEM competition.    What is the Let's Talk Science Challenge? The Let’s Talk Science Challenge is a free team-based STEM/science competition that encourages students in Grades 6-8 to learn about new STEM topics and show what they learn in an exciting, supportive environment.  The Grand Finale competition with a quiz and engineering challenge is held in-person at several locations across Canada, and online for everyone. Online learning resources and practice events keep the excitement going as you gear up for the big day.  Preparation for the competition is important. Students can work in teams or individually to explore STEM concepts provided in the Study Handbook prior to the competition. Let’s Talk Science also offers practice quizzes and beginning in mid-February.  Where can I compete? In-person Grand Finale competitions are being offered in the following locations this year:  Carleton University Dalhousie University – Halifax campus   McMaster University Memorial University of Newfoundland – Grenfell campus Memorial University of Newfoundland – St. John’s campus McGill University (English and French events) – Macdonald campus (Ste-Anne-de-Bellevue) Queen’s University Simon Fraser University Université de Moncton (French event) University of Manitoba University of New Brunswick – Fredericton campus University of Toronto – Mississauga campus University of Toronto – St. George campus University of Windsor Don't see a competition in your area, or the one near you is full? Join one of our virtual Grand Finale competitions and compete with students from across the country!  Why participate in the Let's Talk Science Challenge? The Let's Talk Science Challenge:  Provides an outlet for students who are not being challenged by the curriculum Inspires students to consider future education in STEM and potential STEM careers Enriches curriculum in eight subject areas Emphasizes team collaboration, cooperative learning and problem-solving skills A great opportunity to meet role models from post-secondary campuses near you!",Not available,Free,https://letstalkscience.ca/events/program-timetable/lets-talk-science-challenge-in-person,Youth Education and Skill Development,Let’s Talk Science,letstalkscience.ca
Let's Talk Science Challenge (virtual),1/11/2024 - 1/6/2025,"Are your students up for the Challenge? Put their STEM knowledge to the test by taking part in theory, hands-on and team activities in this national STEM competition.    What is the Let's Talk Science Challenge? The Let’s Talk Science Challenge is a free team-based STEM/science competition that encourages students in Grades 6-8 to learn about new STEM topics and show what they learn in an exciting, supportive environment.  The Grand Finale competition with a quiz and engineering challenge is held in-person at several locations across Canada, and online for everyone. Online learning resources and practice events keep the excitement going as you gear up for the big day.   Preparation for the competition is important. Students can work in teams or individually to explore STEM concepts provided in the Study Handbook prior to the competition. Let’s Talk Science also offers practice quizzes and beginning in mid-February.      Why participate in the Let's Talk Science Challenge? The Let's Talk Science Challenge:  Provides an outlet for students who are not being challenged by the curriculum Inspires students to consider future education in STEM and potential STEM careers Enriches curriculum in eight subject areas Emphasizes team collaboration, cooperative learning and problem-solving skills A great opportunity to meet role models from post-secondary campuses near you!",Online,Free,https://letstalkscience.ca/events/program-timetable/lets-talk-science-challenge-virtual,Youth Education and Skill Development,Let’s Talk Science,letstalkscience.ca
Stem Cell Talks,2/12/2024 - 27/5/2025,"Stem cells are widely studied due to their promise to revolutionize medicine and better the lives of patients suffering from complex diseases. StemCellTalks is a one-day in-person conference hosted in partnership with Stem Cell Network for high school students. This event will provide students with the opportunity to interact with and learn from leading experts in the field of stem cells, while learning about this field with interactive activities.",Not Available,Free,https://letstalkscience.ca/events/program-timetable/stem-cell-talks,Youth Education and Skill Development,Let’s Talk Science,letstalkscience.ca
Spring Daily Discovery Series,21/2/2025 - 24/4/2025,"his year, 9 to 11-year-olds (Grades 4-6) will be encouraged to think outside the box and experience the wonders of how science, technology, engineering and math (STEM) interact with our world through our Spring Daily Discovery Series.  Spend your spring break doing hands-on activities every day of the week! The experience can be done at home, outdoors, and can be completed individually or as a group. The Spring Daily Discovery Series is typically directed towards families, though classes and other youth groups are also welcome to attend.  During the Spring Daily Discovery Series, participants will receive a daily email with a video that demonstrates an activity and includes an engaging lesson. One week before your adventure begins, a materials list will be sent by email, which will include easy-to-find, household materials. Each daily activity will include videos with built-in subtitles and written activity instructions.  Please note that each week will have the same daily activities.   The Spring Daily Discovery Series takes place during the weeks of February 21 and April 24. The registration form includes more details. ",Not Available,Free,https://letstalkscience.ca/events/program-timetable/spring-daily-discovery-series,Youth Education and Skill Development,Let’s Talk Science,letstalkscience.ca
Career Connections: So you want to be a teacher,17:30-18:30,"Choosing the right career path can feel overwhelming, but we're here to help make the choice a little easier. If you're considering a career in education, don’t miss the upcoming Career Connections virtual event!  Join Let’s Talk Science alumni and Teacher leaders as they share what inspired their journey into the field of education, provide a glimpse into the life of an educator, and discuss how Let's Talk Science is making a difference in their classrooms. This event is your chance to gain valuable insights and take that next step toward a fulfilling career in education.  If you cannot make it to a live session, we encourage you to register to receive a link to the recording following the event.   AI-generated closed captions will be available to all participants (English only). ",Not Available,Free,https://letstalkscience.ca/events/program-timetable/career-connections-so-you-want-be-a-teacher,Youth Education and Skill Development,Let’s Talk Science,letstalkscience.ca
STEM Storytime – Unique by Design,25/2/2025 13:00,"Join Lexie and Lenny to read ""All are Welcome"" by Alexandra Penfold, illustrated by Suzanne Kaufman and complete a hands-on science activity about fingerprinting!  In this 45-minute activity, students will learn all about diversity and how everyone is unique, right down to their fingertips. Students will use everyday household items to make prints of their own fingers.  The recording will be available 24 hours after the live session for registered participants.  For this activity, students will need: This activity is targeted at students in Grades 1 to 3. Younger students may still enjoy the activity and book but may require more adult help and support.    Join us for our weekly STEM Storytime series in English on Tuesdays at 1 p.m. ET! If you cannot make it to a live session, feel free to register, and you will be sent a link to the recording afterward.  You can register for upcoming sessions or access on-demand STEM Storytime events on our STEM Storytime Page. ",Not Available,Free,https://letstalkscience.ca/events/program-timetable/stem-storytime-unique-design,Youth Education and Skill Development,Let’s Talk Science,letstalkscience.ca
Handing Over the Reins: Fostering Student Agency (Gr. 1-6),27/2/2025 15:30-17:30,"How can you foster student agency and leadership through STEM learning? Join us in discussing the benefits of incorporating teaching practices that support student agency. You will also explore Universal Design for Learning (UDL), learning strategies and other tools that empower students to express voice and choice.",Online,Free,https://letstalkscience.ca/events/program-timetable/handing-over-reins-fostering-student-agency-gr-1-6,Youth Education and Skill Development,Let’s Talk Science,letstalkscience.ca
STEM Storytime – Peacock Party,4/3/2025 13:00,"Join Lexie and Lenny to read Allan Peterkin’s book, ""Peacock and Sketch"" and complete a hands-on science activity about peacocks!      In this 45-minute activity, students will learn how and why the males in certain animal species, like peacocks, are more colourful than the females. They will then use everyday household items to create their own peacock! Students will create their very own pop-up peacock out of paper. They will then decorate it as they wish to give their peacock the best chance at finding itself a partner.  The recording will be available 24 hours after the live session for registered participants.  For this activity, students will need: This activity is targeted at students in Grades 1 to 3. Younger students may still enjoy the activity and book, but the subject may be complicated. They may also require more support from adults to build their peacock craft.    Join us for our weekly STEM Storytime series on Tuesdays at 1pm ET in English! If you cannot make it to a live session, feel free to register and you will be sent a link to the recording afterwards.  You can register for upcoming sessions or access on-demand STEM Storytime events on our STEM Storytime Page. ",Online,Free,https://letstalkscience.ca/events/program-timetable/stem-storytime-peacock-party,Youth Education and Skill Development,Let’s Talk Science,letstalkscience.ca
Canadian Child Care Federation & Let's Talk Science - Experience Math Through Nature,5/3/2025 20:00,"Get ready to look at the outdoor world through a mathematical lens with an eye for science! Children are filled with wonderment about their natural world, and we are able to leverage this excitement to engage them in math and science experiences outdoors. Mathematics is visible everywhere in nature, even where we are not expecting it through patterns, shapes, numbers, measurements, sequences, etc. Nature provides rich opportunities for math and science learning that will interest and engage children in real-life problem-solving.",Online,Free,https://letstalkscience.ca/events/program-timetable/canadian-child-care-federation-lets-talk-science-experience-math-through-0,Youth Education and Skill Development,Let’s Talk Science,letstalkscience.ca
Let’s Talk Health & Technology – Transforming Ideas into Innovations,6/3/2025 13:00,"Discover what is at the crossroads of entrepreneurial innovation, emerging technologies, and evolving healthcare advancements.   At “Let’s Talk Health & Technology – Transforming Ideas into Innovations”, your students will hear directly from a renowned panel of business leaders and entrepreneurs who are bringing bold ideas to life. Participants will get an insider’s look at groundbreaking research and leading-edge careers, while learning more about the diverse skill sets found in the field.     In 60 minutes, students from all walks of life will have the opportunity to meet a panel of visionaries making groundbreaking innovations in Canada and ask questions directly. Who knows? Maybe the next big idea will be theirs.   Curriculum connections:  Grade 9-12 Career Education Grade 9-12 Science Grade 11-12 Biology Grade 11-12 Life Science, Health Science, Anatomy  The live session will take place on March 6 from 1:00 - 2:00 p.m. ET.  Unable to attend the live event? No problem! All registered participants will receive an email with a recording of the event 48 hours after the live session.  Presentation Summaries: Tamer Mohamed Chadwick King Brenda Irwin Prepare your class for Let's Talk Health & Technology by exploring our handy event resource page complete with more information on our panel and interesting articles to provide context on the subject matter.",Online,Free,https://letstalkscience.ca/events/program-timetable/lets-talk-health-technology-transforming-ideas-innovations,Youth Education and Skill Development,Let’s Talk Science,letstalkscience.ca
Sustainable Kit Development,11/3/2025 16:00-17:00,"Science activities don't have to be bad for the environment!   Join us on March 11 to discuss how to develop and adapt outreach activities to have a lower environmental impact. We'll focus on sustainable material swaps and ways to reduce and reuse activity waste. Participants will be provided with examples and resources to help implement sustainable practices at their local outreach site! This live training session is for Let’s Talk Science volunteers.   If you cannot make it to a live session, feel free to register and you will be sent a link to the recording afterwards. This session will have live closed captioning enabled.",Online,Free,https://letstalkscience.ca/events/program-timetable/sustainable-kit-development,Youth Education and Skill Development,Let’s Talk Science,letstalkscience.ca
