event_name,date_and_time,description,location,cost,event_url,category,charity,organization_link
First Fridays @ the Manitoba Museum,March 7 @ 4:00 pm - 9:00 pm,"The Manitoba Museum is excited to partner with Manitoba Liquor & Lotteries to present our First Fridays programming! Join us on the First Friday of every month from 4 pm to 9 pm for free general admission to our three core attractions – the Museum Galleries, Planetarium, and Science Gallery. No ticket is required for First Friday programming unless otherwise specified.",Manitoba Museum,Not Available,https://manitobamuseum.ca/event/first-fridays/2025-03-07/,Culture and Heritage,Manitoba Museum,MANITOBAMUSEUM.CA
"Manidoo Miiniigooizowin, A Gift from the Creator",February 25 @ 10:00 am - 4:00 pm,"The exhibit celebrates the beauty and resilience of the Anishinaabe and Dakota peoples, and commemorates the 25th anniversary of the Southern Chiefs’ Organization (SCO). Featuring objects from the 34 Nations represented by SCO, Manidoo Miiniigooizowin, A Gift from the Creator is a celebration of the past, present, and future.  Many of the objects in this exhibit have been generously shared by individuals and families who proudly represent their respective Nations, and all were designed or made by talented artists and makers from the SCO member Nations. The exhibit also includes historical objects from the Manitoba Museum collections —community treasures from decades past. With both the ‘old’ and the ‘new’ on display, Manidoo Miiniigooizowin, A Gift from the Creator showcases a walk through many Dakota and Anishinaabe generations.  Manidoo Miiniigooizowin, A Gift from the Creator will be on display in the Discovery Room & Welcome Gallery at the Manitoba Museum until April 2025.",Manitoba Museum,Not Available,https://manitobamuseum.ca/event/manidoo-miiniigooizowin/2025-02-25/,Culture and Heritage,Manitoba Museum,MANITOBAMUSEUM.CA
Legends of the Northern Sky – Planetarium Show,February 25 @ 11:15 am - 12:00 pm,"Embark on a journey with the Indigenous peoples of the western plains of Canada and share in their wisdom conveyed by the stars. Alongside Ocek, the fisher, and his band of animal friends, audiences take a dangerous expedition south to retrieve summer and return it to the frozen north. To the Plains Cree, Ocek was forever running across the night sky, ensuring the arrival of summer after the cold, perilous winter.  Learn how the great bully, the giant bear Mista Maskwa, was finally tamed by a brave band of birds. This adventure is mapped in the stars as the birds chase Mista Maskwa every night, keeping us safe from his foul temperament.  The Indigenous people of North America connect with the night sky in fundamental ways that resonate with their world. In Legends of the Northern Sky, we learn and appreciate their stories in the stars and in turn, learn a little bit more about the spirit that connects us all.  Enjoy a visit to the Planetarium with an All Attraction Pass or your Manitoba Museum Membership! Planetarium seating is now on a first-come, first-served basis. Planetarium doors will open for seating 10 minutes prior to the scheduled start time; just show your Manitoba Museum Membership card or non-Member All Attraction Pass at the door.     Admission to the Manitoba Museum includes access to all three of our incredible attractions. Single attraction tickets and individual Planetarium show tickets are not available. ",Manitoba Museum,24,https://manitobamuseum.ca/event/legends-of-the-northern-sky-pl-winter2025/2025-02-25/,Culture and Heritage,Manitoba Museum,MANITOBAMUSEUM.CA
Aurorae – Planetarium Show,February 25 @ 3:00 pm - 3:45 pm,"The aurorae, or northern lights, are one of the most beautiful and mysterious sights in the night sky. Join us on an expedition to the Northwest Territories in northern Canada to see these shimmering curtains of light under pristine dark skies. We first see the northern lights as northern peoples have seen them for thousands of years, and appreciate their beautiful and varied forms.  Aurorae are not only beautiful, but they also hint at some of the fundamental properties of our planet Earth and its interaction with the Sun. Modern science has revealed some of the amazing processes that cause these beautiful lights in their many colours, but there is still more to learn. Aurorae explores the connection between solar activity and northern lights, highlighting the latest science and looking ahead to the upcoming solar maximum next year.  Enjoy a visit to the Planetarium with an All Attraction Pass or your Manitoba Museum Membership! Planetarium seating is now on a first-come, first-served basis. Planetarium doors will open for seating 10 minutes prior to the scheduled start time; just show your Manitoba Museum Membership card or non-Member All Attraction Pass at the door.     Admission to the Manitoba Museum includes access to all three of our incredible attractions. Single attraction tickets and individual Planetarium show tickets are not available. ",Manitoba  Museum,24,https://manitobamuseum.ca/event/aurorae-pl-winter2025/2025-02-25/,Culture and Heritage,Manitoba Museum,MANITOBAMUSEUM.CA
DOME@HOME,February 27 @ 7:00 pm - 8:00 pm,"Hosted by Planetarium astronomer Scott Young, Dome@Home brings the wonders of the universe to anyone with an internet connection. The show’s content focuses on all of the celestial sights and special events that viewers can see over the next month.     Next show: Thursday, February 27, 2025 @ 7:00 pm (Central Time)  Join us on Dome@Home this month, as we dive into the details of the March 13-14 total lunar eclipse. Manitobans will have front-row seats as the Moon turns red. We’ll cover where and when to watch the eclipse, helpful observing accessories from binoculars to telescopes to hot tubs, and tips for how to capture your own images of the event.  Plus, we’ll be sharing share viewer images of the sky and chat about all the cool space stuff that’s happened over the past month.",Manitoba Museum,Free,https://manitobamuseum.ca/event/domehome/2025-02-27/,Culture and Heritage,Manitoba Museum,MANITOBAMUSEUM.CA
The Great Solar System Adventure – Planetarium Show,March 1 @ 11:00 am - 11:45 am,"Join showman extraordinaire “The Great Schiaparelli” as he takes the audience on a death-defying space-time adventure within his wondrous Observatorium.  From the sun-scorched surface of Mercury to the icy expanses of Pluto and beyond, prepare to be subjected to the myriad dangers and wonders of our Solar System, on a breathtaking tour that reveals just how precious our home planet really is. Be warned though, the Observatorium isn’t just for show. It will transport the audience right to the heart of some of the deadliest locations in our slice of the heavens. It’s going to take some fancy flying to get everyone back in one piece!  Enjoy a visit to the Planetarium with an All Attraction Pass or your Manitoba Museum Membership! Planetarium seating is now on a first-come, first-served basis. Planetarium doors will open for seating 10 minutes prior to the scheduled start time; just show your Manitoba Museum Membership card or non-Member All Attraction Pass at the door.     Admission to the Manitoba Museum includes access to all three of our incredible attractions. Single attraction tickets and individual Planetarium show tickets are not available.",Manitoba Museum,24,https://manitobamuseum.ca/event/great-solar-system-adventure-pl-winter2025/2025-03-01/,Culture and Heritage,Manitoba Museum,MANITOBAMUSEUM.CA
Manitoba Skies – Planetarium Show,March 1 @ 1:45 pm - 2:30 pm,"Take a guided tour of Manitoba’s night sky. This live show, presented by our planetarium staff, highlights the constellations, planets, and celestial events that you can see on clear evenings, and answer your space questions.  Enjoy a visit to the Planetarium with an All Attraction Pass or your Manitoba Museum Membership! Planetarium seating is now on a first-come, first-served basis. Planetarium doors will open for seating 10 minutes prior to the scheduled start time; just show your Manitoba Museum Membership card or non-Member All Attraction Pass at the door.     Admission to the Manitoba Museum includes access to all three of our incredible attractions. Single attraction tickets and individual Planetarium show tickets are not available. ",Manito Museum,24,https://manitobamuseum.ca/event/manitoba-skies-pl-winter2025/2025-03-01/,Culture and Heritage,Manitoba Museum,MANITOBAMUSEUM.CA
KNIGHTS & TIARAS: ENCHANTED KINGDON ADVENTURE,"May 3, 2025","Step into a magical world of knights, tiaras and enchanting adventures! This family friendly gala is sure to spark your imagination and bring fairytales to life. Stay tuned for details!",Not Available,Not Available,https://mcrc.on.ca/events/,Community Services and Resource Center,Milton Community Resource Centre,www.mcrc.on.ca
Muskoka 70.3 & Florida Ironman,6 Jul 25  9:00 am,"About the event Ryan, Kyle and Brayden, The founders of Beyond The Run will be attempting Ironman 70.3 Muskoka in Huntsville, Ontario, Canada to raise money and spread awareness for men's mental health support. Their initiative ""Beyond The Run"" is an active effort to provide coping methods for men","Huntsville, ON",Not Available,https://ca.movember.com/en/events/view/id/Qeq0,Health Care,Movember Canada,CA.MOVEMBER.COM
www.mscanada.ca,"March 20, 2025","MS Hear From The Experts is a series of webinars that help people better understand multiple sclerosis, highlights MS-related resources, plus provides tools and tips to navigate their MS Journey with more knowledge and confidence. Our intention is to help individuals learn more about the disease, treatments, research, wellness strategies, about the MS Canada programs, and much more.  Phone-only participation will be available. The broadcasts are presented in English with no cost for participation. For information and to register for upcoming webinars presented in French, please visit our « Ce qu’en disent les experts » webpage.",Online,Free,https://mscanada.ca/take-action/community-events/ms-hear-from-the-experts-webinars-acceptance-resilience,Diseases and Conditions,Multiple Sclerosis Canada,www.mscanada.ca
